val	col
0	['舒', '仄']
1	['舒', '仄']
ㄇ	['尾']
ㄟ	['尾']
ㄡ	['尾']
ㄣ	['尾']
ㄥ	['尾']
一	['等']
一東	['韻']
一歌	['韻']
三	['等']
三庚	['韻']
三東	['韻']
三歌	['韻']
三麻	['韻']
上	['聲']
並	['母']
之	['韻']
二	['等']
二庚	['韻']
二麻	['韻']
云	['母']
仙	['韻']
以	['母']
佳	['韻', '水']
來	['母']
侯	['韻']
侵	['韻', '水']
俟	['母']
假	['攝']
元	['韻', '水']
先	['韻', '水']
入	['聲']
全清	['音']
全濁	['音']
内	['轉']
冬	['韻', '水']
凡	['韻']
初	['母']
刪	['韻', '水']
匣	['母']
去	['聲']
咍	['韻']
咸	['韻', '水', '攝']
唇	['調']
唐	['韻']
喉	['調']
嚴	['韻']
四	['等']
外	['轉']
夬	['韻']
孃	['母']
宕	['攝']
定	['母']
宵	['韻']
寒	['韻', '水']
尤	['韻', '水']
山	['韻', '攝']
崇	['母']
常	['母']
幫	['母', '組']
平	['聲']
幽	['韻']
庚	['水']
廢	['韻']
影	['母', '組']
從	['母']
微	['韻', '水']
徹	['母']
心	['母']
戈	['韻合']
支	['韻', '水']
效	['攝']
文	['韻', '水']
日	['母']
昌	['母']
明	['母']
曉	['母']
書	['母']
曾	['攝']
東	['水']
果	['攝']
桓	['韻合']
梗	['攝']
模	['韻']
次清	['音']
次濁	['音']
欣	['韻']
歌	['水']
止	['攝']
江	['韻', '水', '攝']
泥	['母']
泰	['韻']
流	['攝']
深	['攝']
添	['韻']
清	['母', '韻']
溪	['母']
滂	['母']
澄	['母']
灰	['韻', '水']
牙	['調']
生	['母']
疑	['母']
痕	['韻']
登	['韻']
皆	['韻']
眞	['韻']
真	['水']
知	['母', '組']
祭	['韻']
章	['母', '組']
端	['母', '組']
精	['母', '組']
羣	['母']
耕	['韻']
肴	['韻', '水']
脂	['韻']
臻	['韻', '攝']
舌	['調']
船	['母']
莊	['母', '組']
蒸	['韻', '水']
蕭	['韻', '水']
虞	['韻', '水']
蟹	['攝']
覃	['韻', '水']
見	['母', '組']
諄	['韻合']
談	['韻']
豪	['韻', '水']
透	['母']
通	['攝']
遇	['攝']
邪	['母']
銜	['韻']
鍾	['韻']
陽	['韻', '水']
青	['韻', '水']
魂	['韻']
魚	['韻', '水']
鹽	['韻', '水']
麻	['水']
齊	['韻', '水']
齒	['調']
